# EmojiZwjIntegrityTest.txt
# UCD version: 16.0.0
# Security-spec version: 0.1.0
# Family: I3 — Emoji ZWJ-Sequence Integrity
# License: Apache-2.0
#
# Threat model: malformed or unsanctioned emoji ZWJ-sequence
# shapes that render differently across libraries (UTS #51).
# Detects double-ZWJ, non-emoji injection, over-length chains,
# skin-tone overflow, and unregistered ZWJ-joined sequences.
#
# Format:
#   <hex codepoints>; <classification>; <positions>; <attribution>; # <name>
#
# Classifications produced by the I3 detector:
#   Clear
#   Hazard:DoubleZWJ              Hazard:NonEmojiInjection
#   Hazard:OverLength             Hazard:SkinToneOverflow
#   Hazard:UnregisteredSequence

# @section Clear
# @level basic

# ASCII — no ZWJ.
0048 0065 006C 006C 006F; Clear; ; chain_len=0; zwj_count=0; skin_tone_count=0; is_rgi=false; # ASCII Hello

# Plain emoji — no ZWJ.
1F600; Clear; ; chain_len=0; zwj_count=0; skin_tone_count=0; is_rgi=false; # Grinning face solo

# Plain Han — no emoji structure.
4E2D 6587; Clear; ; chain_len=0; zwj_count=0; skin_tone_count=0; is_rgi=false; # Han 中文

# Single skin-tone modifier on a wave emoji — count=1, clear.
1F44B 1F3FB; Clear; ; chain_len=0; zwj_count=0; skin_tone_count=1; is_rgi=false; # Waving hand, light skin tone

# Registered RGI family (man + ZWJ + woman + ZWJ + girl + ZWJ + boy).
1F468 200D 1F469 200D 1F467 200D 1F466; Clear; ; chain_len=7; zwj_count=3; skin_tone_count=0; is_rgi=true; # 👨‍👩‍👧‍👦 family ZWJ sequence

# Registered RGI couple-with-heart (man + ZWJ + heart + VS16 + ZWJ + man).
# Note: actual emoji uses VS16, but for v1 we test the plain ZWJ form.
1F468 200D 2764 FE0F 200D 1F468; Clear; ; chain_len=6; zwj_count=2; skin_tone_count=0; is_rgi=true; # 👨‍❤️‍👨 couple RGI

# @section DoubleZWJ
# @level basic

# Two ZWJs in a row between emojis.
1F600 200D 200D 1F4BB; Hazard:DoubleZWJ; 1; chain_len=4; zwj_count=2; skin_tone_count=0; is_rgi=false; # Grinning face + ZWJ ZWJ + laptop

# Three adjacent ZWJs.
1F600 200D 200D 200D 1F600; Hazard:DoubleZWJ; 1,2; chain_len=5; zwj_count=3; skin_tone_count=0; is_rgi=false; # Triple ZWJ

# @section NonEmojiInjection
# @level basic

# ZWJ joining ASCII 'a' (non-emoji).
1F600 200D 0061; Hazard:NonEmojiInjection; 1; chain_len=3; zwj_count=1; skin_tone_count=0; is_rgi=false; # Smiley + ZWJ + a

# ZWJ joining ASCII digit '0'.
0030 200D 1F600; Hazard:NonEmojiInjection; 1; chain_len=3; zwj_count=1; skin_tone_count=0; is_rgi=false; # 0 + ZWJ + smiley

# ZWJ joining a Han codepoint.
1F600 200D 4E2D; Hazard:NonEmojiInjection; 1; chain_len=3; zwj_count=1; skin_tone_count=0; is_rgi=false; # Smiley + ZWJ + Han 中

# @section OverLength
# @level strict

# Pure-ZWJ chain longer than the 16-codepoint RGI cap.
# Uses MAN (1F468) which IS in the RGI ZWJ alphabet (man
# participates in family / couple / profession sequences) —
# so the chain passes the non-emoji-injection check but trips
# the length cap.
1F468 200D 1F468 200D 1F468 200D 1F468 200D 1F468 200D 1F468 200D 1F468 200D 1F468 200D 1F468; Hazard:OverLength; ; chain_len=17; zwj_count=8; skin_tone_count=0; is_rgi=false; # 9x MAN, 8x ZWJ — 17-cp chain

# @section SkinToneOverflow
# @level strict

# Five distinct skin-tone modifiers on a single base.
1F44B 1F3FB 1F3FC 1F3FD 1F3FE 1F3FF; Hazard:SkinToneOverflow; ; chain_len=0; zwj_count=0; skin_tone_count=5; is_rgi=false; # 5 skin tones

# Six skin-tone modifiers.
1F44B 1F3FB 1F3FC 1F3FD 1F3FE 1F3FF 1F3FB; Hazard:SkinToneOverflow; ; chain_len=0; zwj_count=0; skin_tone_count=6; is_rgi=false; # 6 skin tones
